Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,CeeDee Lamb*+,DAL,24,WR,17,17,181,135,74.6%,1749,13.0,12,80,63.5,92,9.7,7.9,102.9,3,LambCe00
2,Tyreek Hill*+,MIA,29,WR,16,16,171,119,69.6%,1799,15.1,13,83,57.9,78,10.5,7.4,112.4,1,HillTy00
3,Amon-Ra St. Brown*+,DET,24,WR,16,16,164,119,72.6%,1515,12.7,10,75,61.6,70,9.2,7.4,94.7,1,StxxAm00
4,Evan Engram*,JAX,29,TE,17,15,143,114,79.7%,963,8.4,4,47,53.1,34,6.7,6.7,56.6,3,EngrEv00
5,Michael Pittman Jr.,IND,26,WR,16,15,156,109,69.9%,1152,10.6,4,53,51.9,75,7.4,6.8,72.0,2,PittMi01
6,Keenan Allen*,LAC,31,WR,13,13,150,108,72.0%,1243,11.5,7,57,58.7,42,8.3,8.3,95.6,2,AlleKe00
7,Stefon Diggs*,BUF,30,WR,17,17,160,107,66.9%,1183,11.1,8,58,55.0,55,7.4,6.3,69.6,2,DiggSt00
8,A.J. Brown*,PHI,26,WR,17,17,158,106,67.1%,1456,13.7,7,70,56.3,59,9.2,6.2,85.6,2,BrowAJ00
9,Puka Nacua*,LAR,22,WR,17,17,160,105,65.6%,1486,14.2,6,68,56.9,80,9.3,6.2,87.4,1,NacuPu00
10,Davante Adams,LVR,31,WR,17,17,175,103,58.9%,1144,11.1,8,59,48.6,46,6.5,6.1,67.3,0,AdamDa01
11,Adam Thielen,CAR,33,WR,17,17,137,103,75.2%,1014,9.8,4,56,58.4,32,7.4,6.1,59.6,2,ThieAd00
12,Ja'Marr Chase*,CIN,23,WR,16,16,145,100,69.0%,1216,12.2,7,63,56.6,76,8.4,6.3,76.0,1,ChasJa00
13,D.J. Moore,CHI,26,WR,17,17,136,96,70.6%,1364,14.2,8,64,59.6,58,10.0,5.6,80.2,1,MoorD.00
14,T.J. Hockenson,MIN,26,TE,15,11,127,95,74.8%,960,10.1,5,48,53.5,29,7.6,6.3,64.0,1,HockTJ00
15,Garrett Wilson,NYJ,23,WR,17,17,168,95,56.5%,1042,11.0,3,47,44.0,68,6.2,5.6,61.3,2,WilsGa00
16,Travis Kelce*,KAN,34,TE,15,15,121,93,76.9%,984,10.6,5,50,62.0,53,8.1,6.2,65.6,1,KelcTr00
