Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Deebo Samuel,WR,23,1,1,3,33,33,51,1,2,24,1,0,123,782,14,223,3230,12,2,,
Leighton Vander Esch,OLB,22,0,1,5,33,33,66,0,0,0,0,0,0,0,0,0,0,0,279,3,3.5
Christian Kirk,WR,21,0,0,5,33,24,73,1,2,33,0,0,21,153,0,320,4010,25,1,,
Zach Cunningham,LB,22,0,0,4,33,29,82,0,0,0,0,0,0,0,0,0,0,0,392,1,6.5
Taylor Moton,G,23,0,0,5,33,33,98,0,0,0,0,0,0,0,0,0,0,0,2,,
Emmanuel Ogbah,DE,22,0,0,5,33,15,92,0,0,0,0,0,0,0,0,0,0,0,151,,37
Kenyan Drake,RB,22,0,0,2,33,15,101,0,0,0,0,0,867,3866,33,216,1624,8,6,,
Jacoby Brissett,QB,23,0,0,3,33,2,76,963,1577,10350,48,23,227,896,15,1,2,0,,,
David Onyemata,DT,23,0,0,4,33,33,106,0,0,0,0,0,0,0,0,0,0,0,131,1,23
Austin Blythe,C,24,0,0,4,33,1,92,0,0,0,0,0,0,0,0,0,0,0,,,
Danny Shelton,NT,22,0,0,5,33,15,101,0,0,0,0,0,0,0,0,0,0,0,138,,6
