"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"James Cook","BUF","RB","17.7","11.4","6.299999999999999","17.7","11.4","6.3","1","3","2.12","46","20.79","1","0.2688","56","53.753","0","0.22"
"Trey Palmer","TB","WR","1","2.3","-1.2999999999999998","1","2.3","-1.3","1","1","1.62","5","15.09","0","0","0","0","0","0"
"Royce Freeman","LA","RB","6.6","5.6","1","6.6","5.6","1","1","0","0","0","0","0","0","66","53.4002","0","0.04"
"Michael Wilson","ARZ","WR","4.1","8","-3.9000000000000004","4.1","8","-3.9","1","3","3.39","26","49.49","0","0.2304","0","0","0","0"
"AJ Dillon","GB","RB","10.5","10","0.5","10.5","10","0.5","1","2","1.74","34","14.95","0","0","61","67.1986","0","0.15"
"Odell Beckham Jr.","BLT","WR","7.4","10.9","-3.5","7.4","10.9","-3.5","1","5","4.72","49","65.4","0","0.336","0","0","0","0"
"Darrell Henderson","LA","RB","13.1","15.3","-2.200000000000001","13.1","15.3","-2.2","1","1","1.91","5","6.75","0","0.2688","61","76.5482","1","0.73"
"Marquez Valdes-Scantling","KC","WR","15.9","6.8","9.100000000000001","15.9","6.8","9.1","1","3","2.9","84","47.09","1","0.1056","0","0","0","0"
"David Njoku","CLV","TE","7.9","12.8","-4.9","7.9","12.8","-4.9","1","5","5.78","54","46.42","0","0.8832","0","0","0","0"
"Dawson Knox","BUF","TE","1.5","3.9","-2.4","1.5","3.9","-2.4","1","1","1.99","10","24.82","0","0.0768","0","0","0","0"
"Travis Etienne Jr.","JAX","RB","21.2","11.8","9.399999999999999","21.2","11.8","9.4","1","3","2.82","24","14.58","0","0.0192","53","59.192","2","0.48"
"Jerick McKinnon","KC","RB","3.6","3.8","-0.19999999999999973","3.6","3.8","-0.2","1","2","1.39","24","17.77","0","0.0672","2","8.8984","0","0.01"
